"geo","gender","provider_status","time_use","care_type","care_focus","provider_attention","provision_interval","population"
"state06","female","without_children","care","formal","daily_living","active",167032685.742857,9095240.77
"state02","female","without_children","care","formal","daily_living","active",3208947,151054.12
"state15","female","without_children","care","formal","daily_living","active",5312554.54285714,312722.92
"national","female","without_children","care","formal","daily_living","active",1383903943.28571,81322128.39
"state23","female","without_children","care","formal","developmental","active",4676533.2,401675.69
"state33","female","without_children","care","formal","developmental","active",8791066.02857143,402489.9
"state50","female","without_children","care","formal","developmental","active",4501381.71428571,182567.77
"state25","female","without_children","care","formal","developmental","active",53740195.3714286,1763926.14
"state44","female","without_children","care","formal","developmental","active",4101403.88571429,290552.78
"state09","female","without_children","care","formal","developmental","active",18547830.6,900290.81
"state36","female","without_children","care","formal","developmental","active",98086917.6,4988938.04
"state34","female","without_children","care","formal","developmental","active",30116572.9714286,2073809.9
"state42","female","without_children","care","formal","developmental","active",52589392.4571429,3244363.17
"state39","female","without_children","care","formal","developmental","active",34797224.0571429,2884291.44
"state18","female","without_children","care","formal","developmental","active",22510603.5428571,1582186.29
"state17","female","without_children","care","formal","developmental","active",46472934.2571429,3036351.49
"state26","female","without_children","care","formal","developmental","active",20658124.8857143,2415418.65
"state55","female","without_children","care","formal","developmental","active",25560323.0571429,1442976.49
"state27","female","without_children","care","formal","developmental","active",16558372.5428571,1427579.9
"state19","female","without_children","care","formal","developmental","active",20629115.8285714,808804.18
"state29","female","without_children","care","formal","developmental","active",24616307.9142857,1519646.87
"state38","female","without_children","care","formal","developmental","active",3124990.88571429,173637.09
"state46","female","without_children","care","formal","developmental","active",5898871.02857143,224246.84
"state31","female","without_children","care","formal","developmental","active",10966350.2571429,459438.1
"state20","female","without_children","care","formal","developmental","active",12678501.4285714,707781
"state10","female","without_children","care","formal","developmental","active",4889586.77142857,266371.32
"state24","female","without_children","care","formal","developmental","active",35282717.1428571,1509432.49
"state11","female","without_children","care","formal","developmental","active",3782627.14285714,223310.58
"state51","female","without_children","care","formal","developmental","active",34502018.2285714,2099460.26
"state54","female","without_children","care","formal","developmental","active",7780513.71428571,445493.3
"state37","female","without_children","care","formal","developmental","active",41192639.8285714,2801083.52
"state45","female","without_children","care","formal","developmental","active",7876954.37142857,1336837.49
"state13","female","without_children","care","formal","developmental","active",44631374.4,2710740.42
"state12","female","without_children","care","formal","developmental","active",73852585.7142857,5998158.4
"state21","female","without_children","care","formal","developmental","active",15011622,1162108.73
"state47","female","without_children","care","formal","developmental","active",31488570.3428571,1754660.8
"state01","female","without_children","care","formal","developmental","active",18760123.3714286,1311147.06
"state28","female","without_children","care","formal","developmental","active",9994988.4,735307.3
"state05","female","without_children","care","formal","developmental","active",17888713.8,736075.6
"state22","female","without_children","care","formal","developmental","active",15060356.2285714,1071847.81
"state40","female","without_children","care","formal","developmental","active",14443693.0285714,987847.14
"state48","female","without_children","care","formal","developmental","active",134233125,6567935.32
"state30","female","without_children","care","formal","developmental","active",1964162.22857143,294271.92
"state16","female","without_children","care","formal","developmental","active",5320029.6,438131.2
"state56","female","without_children","care","formal","developmental","active",2520346.54285714,134037.24
"state08","female","without_children","care","formal","developmental","active",27616235.7428571,1446028.63
"state35","female","without_children","care","formal","developmental","active",5281678.97142857,521733.75
"state04","female","without_children","care","formal","developmental","active",27186975.8571429,1895835.46
"state49","female","without_children","care","formal","developmental","active",11128157.4857143,711670.9
"state32","female","without_children","care","formal","developmental","active",15848257.1142857,735200.55
"state53","female","without_children","care","formal","developmental","active",17653460.6571429,1827374.51
"state41","female","without_children","care","formal","developmental","active",16683491.0571429,1110036.34
"state06","female","without_children","care","formal","developmental","active",135638918.914286,9095240.77
"state02","female","without_children","care","formal","developmental","active",2675625.08571429,151054.12
"state15","female","without_children","care","formal","developmental","active",5674783.02857143,312722.92
"national","female","without_children","care","formal","developmental","active",1305487345.28571,81322128.39
"state23","female","without_children","care","formal","health","active",13625929.7142857,401675.69
"state33","female","without_children","care","formal","health","active",14340253.2,402489.9
