"activity_id","provision_interval","population","geo"
"hairdressers-hairstylists-and-cosmetologists-state42","9146540.32045714","37068.27386","state42"
"hairdressers-hairstylists-and-cosmetologists-state39","10907838.1347429","38649.98276","state39"
"hairdressers-hairstylists-and-cosmetologists-state18","6078089.85634286","22590.639","state18"
"hairdressers-hairstylists-and-cosmetologists-state17","10450451.9787429","37670.43902","state17"
"hairdressers-hairstylists-and-cosmetologists-state26","9358588.24217143","36138.4846","state26"
"hairdressers-hairstylists-and-cosmetologists-state55","4531459.62737143","19484.94108","state55"
"hairdressers-hairstylists-and-cosmetologists-state27","5373134.99228571","18340.84292","state27"
"hairdressers-hairstylists-and-cosmetologists-state19","3225444.70457143","10225.4451","state19"
"hairdressers-hairstylists-and-cosmetologists-state29","8470753.02462857","27969.87962","state29"
"hairdressers-hairstylists-and-cosmetologists-state38","680223.150685714","2323.70148","state38"
"hairdressers-hairstylists-and-cosmetologists-state46","476526.228342857","1880.15564","state46"
"hairdressers-hairstylists-and-cosmetologists-state31","1777903.67331429","5716.26176","state31"
"hairdressers-hairstylists-and-cosmetologists-state20","3558357.04217143","12160.8334","state20"
"hairdressers-hairstylists-and-cosmetologists-state10","680360.693657143","3044.14984","state10"
"hairdressers-hairstylists-and-cosmetologists-state24","5548954.32","19048.65512","state24"
"hairdressers-hairstylists-and-cosmetologists-state11","378318.536914286","1358.2467","state11"
"hairdressers-hairstylists-and-cosmetologists-state51","6344642.57502857","24201.603","state51"
"hairdressers-hairstylists-and-cosmetologists-state54","696210.027771429","2739.39034","state54"
"hairdressers-hairstylists-and-cosmetologists-state37","10275618.0625714","37857.45308","state37"
"hairdressers-hairstylists-and-cosmetologists-state45","6024042.53451429","21965.87482","state45"
"hairdressers-hairstylists-and-cosmetologists-state13","14956777.8027429","49379.18096","state13"
"hairdressers-hairstylists-and-cosmetologists-state12","31245666.8528571","111384.4056","state12"
"hairdressers-hairstylists-and-cosmetologists-state21","4997208.30925714","15252.68762","state21"
