"date","geo_level","sandwich_population","sandwich_population_proportion","sandwich_time_total","sandwich_time_median"
2019-01-01,"state50",13904.0244989841,0.028297539983599,134516.561903104,363
2019-01-01,"state51",157020.619224893,0.0201860990784384,1205884.51934049,370
2019-01-01,"state53",141552.517089676,0.0224764921857614,1475718.66605257,726
2019-01-01,"state54",65942.9774124964,0.0364417205529331,768676.02012486,755
2019-01-01,"state55",120654.694383302,0.023228922651226,994995.477895278,400
2019-01-01,"state56",32788.9779693742,0.064890797680434,512575.845399011,1068
2021-01-01,"state01",115057.898457467,0.0285701121988859,1154938.58678627,657
2021-01-01,"state02",19525.5946055682,0.0476395282383423,243927.969996221,1005
2021-01-01,"state04",55372.9601578822,0.0104203501252652,440180.120074079,490
2021-01-01,"state05",74593.7904408734,0.0299123637624977,757277.981419846,636
2021-01-01,"state06",652228.710451861,0.0247052298568736,5830664.52325668,546
2021-01-01,"state08",112198.076226712,0.0250276323043697,1106631.02262126,690
2021-01-01,"state09",60905.1845498762,0.0214607973430846,453636.994873841,382
2021-01-01,"state10",2369.01822550575,0.00338407342067209,12186.4995716567,561
2021-01-01,"state12",275374.523488307,0.019259802224855,2684783.79924673,645
2021-01-01,"state13",215727.545358619,0.0247645501099666,1930363.57575903,600
2021-01-01,"state15",7492.02819686356,0.00944584106310894,63656.0007914605,350
2021-01-01,"state16",39173.9444153523,0.0281525705562353,380108.259287433,585
2021-01-01,"state17",248679.123582518,0.0218992774337519,2126745.61268211,585
2021-01-01,"state18",121019.101167535,0.019753135778158,1001174.87079132,450
2021-01-01,"state19",108248.081452276,0.0366229444880526,932007.393183777,423
2021-01-01,"state20",51020.2284109731,0.0185521750944771,359676.881531798,367
2021-01-01,"state21",65771.1917500515,0.0174179560390525,717445.019993135,743
2021-01-01,"state22",78543.19249924,0.0236222821069489,761080.836651185,595
2021-01-01,"state23",8876.56375482685,0.00718164957872413,82559.6891667981,700
2021-01-01,"state24",102589.516629361,0.0192817015262751,847292.963345954,456
2021-01-01,"state25",122655.780090243,0.02260314961967,919648.090574443,420
2021-01-01,"state26",223404.129511981,0.0262611884514247,2047831.55367715,554
2021-01-01,"state27",121999.613296129,0.0236235678915208,1194912.57349161,595
2021-01-01,"state28",111055.814615832,0.0473809879784271,1016406.80457751,469
2021-01-01,"state29",130546.543880075,0.0255166641283434,1056451.59014441,457
