"year","month","gender_parent","total_population","labor_force","lfpr"
1996,"November","Non-Mothers",54547522.0019,28126450.0499,51.5632040057114
1996,"November","Other",23511935.0891,11267712.8983,47.923375322364
1996,"October","Fathers",30501481.1952,27984635.7688,91.748448508802
1996,"October","Mothers",36911185.6113,25136881.105,68.1009853482046
1996,"October","Non-Fathers",55655062.7648,35711162.3169,64.1651640351507
1996,"October","Non-Mothers",54677307.8944,28257441.9989,51.6803827530691
1996,"October","Other",23528162.1291,11463507.0033,48.7224923918803
1996,"September","Fathers",30485800.5962,27776875.0982,91.1141402061861
1996,"September","Mothers",37096663.3036,25163583.0133,67.8324700185583
1996,"September","Non-Fathers",55635394.3686,35496937.6718,63.802796896923
1996,"September","Non-Mothers",54348034.9423,27844632.5936,51.2339270834023
1996,"September","Other",23494633.7901,11361736.4353,48.3588573322966
1997,"April","Fathers",30679685.385,27865561.5297,90.8274031497211
1997,"April","Mothers",37225105.8532,25343420.8194,68.0815278789097
1997,"April","Non-Fathers",56212267.4838,35852813.9163,63.7811202450293
1997,"April","Non-Mothers",54295639.0795,28028469.8328,51.6219540058467
1997,"April","Other",24261632.2968,11679337.8985,48.1391266491185
1997,"August","Fathers",30537383.7106,28112079.6772,92.0579180705709
